         21.5x10.5PN              (215x105PN.dat)                              11/22/16                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
        13.9        0.23      0.5089      0.0696      0.0311       0.311       6.543       4.277                                                                          
        15.3        0.25      0.5508      0.0669      0.0304       0.304       6.397       4.114                                                                          
        16.7        0.27      0.5894      0.0641      0.0296       0.297       6.243       3.939                                                                          
        18.1        0.30      0.6244      0.0610      0.0289       0.289       6.079       3.750                                                                          
        19.5        0.32      0.6549      0.0577      0.0280       0.281       5.905       3.548                                                                          
        20.8        0.34      0.6812      0.0544      0.0272       0.273       5.732       3.344                                                                          
        22.2        0.36      0.7050      0.0510      0.0263       0.264       5.537       3.134                                                                          
        23.6        0.39      0.7260      0.0475      0.0253       0.253       5.321       2.919                                                                          
        25.0        0.41      0.7439      0.0439      0.0241       0.242       5.083       2.698                                                                          
        26.4        0.43      0.7589      0.0402      0.0229       0.230       4.822       2.474                                                                          
        27.8        0.45      0.7707      0.0365      0.0215       0.216       4.533       2.243                                                                          
        29.2        0.48      0.7789      0.0327      0.0200       0.201       4.214       2.008                                                                          
        30.6        0.50      0.7827      0.0287      0.0184       0.184       3.868       1.768                                                                          
        32.0        0.52      0.7791      0.0248      0.0166       0.167       3.500       1.523                                                                          
        33.4        0.55      0.7657      0.0207      0.0148       0.148       3.108       1.273                                                                          
        34.7        0.57      0.7371      0.0166      0.0128       0.128       2.693       1.020                                                                          
        36.1        0.59      0.6862      0.0124      0.0107       0.107       2.253       0.764                                                                          
        37.5        0.61      0.5983      0.0083      0.0085       0.085       1.793       0.510                                                                          
        38.9        0.64      0.4235      0.0042      0.0062       0.063       1.315       0.255                                                                          
        40.3        0.66     -0.0042      0.0000      0.0039       0.040       0.830      -0.002                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       4000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0897      0.0455       1.081      17.039       9.806                                                                          
         1.8        0.02      0.0456      0.0884      0.0439       1.043      16.440       9.663                                                                          
         3.7        0.05      0.0930      0.0870      0.0423       1.006      15.855       9.506                                                                          
         5.5        0.07      0.1420      0.0854      0.0409       0.971      15.299       9.336                                                                          
         7.4        0.09      0.1923      0.0837      0.0394       0.937      14.762       9.152                                                                          
         9.2        0.11      0.2436      0.0819      0.0381       0.904      14.247       8.953                                                                          
        11.1        0.14      0.2957      0.0799      0.0367       0.873      13.749       8.738                                                                          
        12.9        0.16      0.3477      0.0778      0.0355       0.843      13.281       8.508                                                                          
        14.8        0.18      0.3997      0.0756      0.0342       0.814      12.821       8.261                                                                          
        16.6        0.20      0.4507      0.0732      0.0331       0.786      12.382       7.997                                                                          
        18.5        0.23      0.5001      0.0706      0.0319       0.759      11.962       7.715                                                                          
        20.3        0.25      0.5473      0.0678      0.0309       0.733      11.555       7.415                                                                          
        22.1        0.27      0.5912      0.0649      0.0298       0.709      11.164       7.094                                                                          
        24.0        0.29      0.6308      0.0618      0.0288       0.685      10.789       6.751                                                                          
        25.8        0.32      0.6646      0.0584      0.0279       0.662      10.433       6.388                                                                          
        27.7        0.34      0.6928      0.0551      0.0270       0.642      10.111       6.022                                                                          
        29.5        0.36      0.7181      0.0517      0.0261       0.619       9.758       5.648                                                                          
        31.4        0.38      0.7411      0.0482      0.0250       0.594       9.363       5.264                                                                          
        33.2        0.41      0.7614      0.0446      0.0239       0.567       8.930       4.871                                                                          
        35.1        0.43      0.7790      0.0409      0.0226       0.536       8.453       4.470                                                                          
        36.9        0.45      0.7936      0.0371      0.0212       0.503       7.931       4.059                                                                          
        38.8        0.48      0.8049      0.0333      0.0197       0.467       7.359       3.638                                                                          
        40.6        0.50      0.8120      0.0294      0.0180       0.428       6.742       3.209                                                                          
        42.4        0.52      0.8121      0.0254      0.0163       0.386       6.089       2.773                                                                          
        44.3        0.54      0.8026      0.0213      0.0144       0.343       5.402       2.330                                                                          
        46.1        0.57      0.7776      0.0172      0.0125       0.297       4.683       1.878                                                                          
        48.0        0.59      0.7323      0.0130      0.0105       0.248       3.914       1.422                                                                          
        49.8        0.61      0.6488      0.0087      0.0082       0.194       3.060       0.948                                                                          
        51.7        0.63      0.4764      0.0044      0.0058       0.138       2.173       0.477                                                                          
        53.5        0.66     -0.0047      0.0000      0.0034       0.081       1.271      -0.003                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       5000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0899      0.0397       1.844      23.243      15.348                                                                          
         2.3        0.02      0.0518      0.0886      0.0388       1.801      22.707      15.130                                                                          
         4.6        0.05      0.1043      0.0872      0.0379       1.760      22.189      14.892                                                                          
         6.9        0.07      0.1573      0.0857      0.0371       1.720      21.682      14.634                                                                          
         9.2        0.09      0.2105      0.0840      0.0362       1.681      21.189      14.353                                                                          
        11.6        0.11      0.2635      0.0823      0.0354       1.643      20.707      14.050                                                                          
        13.9        0.14      0.3161      0.0803      0.0346       1.605      20.235      13.723                                                                          
        16.2        0.16      0.3677      0.0783      0.0338       1.569      19.774      13.372                                                                          
        18.5        0.18      0.4180      0.0761      0.0330       1.533      19.325      12.997                                                                          
        20.8        0.20      0.4666      0.0737      0.0323       1.497      18.873      12.595                                                                          
        23.1        0.23      0.5130      0.0712      0.0315       1.461      18.421      12.165                                                                          
        25.4        0.25      0.5569      0.0685      0.0307       1.425      17.960      11.705                                                                          
        27.7        0.27      0.5977      0.0656      0.0299       1.387      17.486      11.211                                                                          
        30.0        0.29      0.6348      0.0625      0.0290       1.348      16.989      10.680                                                                          
        32.4        0.32      0.6676      0.0592      0.0281       1.306      16.467      10.109                                                                          
        34.7        0.34      0.6961      0.0558      0.0273       1.265      15.952       9.530                                                                          
        37.0        0.36      0.7221      0.0523      0.0263       1.220      15.382       8.936                                                                          
        39.3        0.39      0.7457      0.0488      0.0252       1.170      14.747       8.327                                                                          
        41.6        0.41      0.7666      0.0451      0.0240       1.115      14.050       7.703                                                                          
        43.9        0.43      0.7850      0.0414      0.0227       1.054      13.285       7.065                                                                          
        46.2        0.45      0.8002      0.0375      0.0213       0.988      12.451       6.413                                                                          
        48.5        0.48      0.8118      0.0336      0.0197       0.916      11.548       5.747                                                                          
        50.8        0.50      0.8190      0.0297      0.0181       0.839      10.573       5.067                                                                          
        53.2        0.52      0.8196      0.0256      0.0163       0.756       9.535       4.374                                                                          
        55.5        0.54      0.8109      0.0215      0.0144       0.669       8.431       3.667                                                                          
        57.8        0.57      0.7883      0.0173      0.0124       0.576       7.264       2.949                                                                          
        60.1        0.59      0.7452      0.0130      0.0103       0.478       6.023       2.222                                                                          
        62.4        0.61      0.6658      0.0087      0.0080       0.372       4.687       1.488                                                                          
        64.7        0.64      0.4920      0.0044      0.0056       0.261       3.293       0.745                                                                          
        67.0        0.66     -0.0042      0.0000      0.0032       0.149       1.874      -0.003                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       6000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0901      0.0318       2.554      26.830      22.167                                                                          
         2.8        0.02      0.0630      0.0889      0.0319       2.561      26.905      21.868                                                                          
         5.5        0.05      0.1239      0.0876      0.0320       2.566      26.956      21.542                                                                          
         8.3        0.07      0.1825      0.0861      0.0320       2.569      26.982      21.187                                                                          
        11.1        0.09      0.2390      0.0846      0.0320       2.568      26.976      20.800                                                                          
        13.8        0.11      0.2931      0.0829      0.0320       2.565      26.939      20.382                                                                          
        16.6        0.14      0.3448      0.0810      0.0319       2.558      26.873      19.931                                                                          
        19.4        0.16      0.3940      0.0791      0.0318       2.549      26.770      19.446                                                                          
        22.1        0.18      0.4406      0.0770      0.0316       2.535      26.628      18.927                                                                          
        24.9        0.20      0.4846      0.0747      0.0314       2.517      26.436      18.371                                                                          
        27.7        0.23      0.5261      0.0723      0.0311       2.492      26.178      17.773                                                                          
        30.4        0.25      0.5650      0.0696      0.0307       2.460      25.842      17.130                                                                          
        33.2        0.27      0.6014      0.0668      0.0302       2.419      25.414      16.436                                                                          
        36.0        0.29      0.6351      0.0638      0.0295       2.368      24.872      15.681                                                                          
        38.7        0.32      0.6664      0.0604      0.0287       2.303      24.189      14.859                                                                          
        41.5        0.34      0.6951      0.0570      0.0278       2.231      23.431      14.012                                                                          
        44.3        0.36      0.7216      0.0534      0.0268       2.150      22.588      13.146                                                                          
        47.0        0.38      0.7457      0.0498      0.0257       2.061      21.647      12.254                                                                          
        49.8        0.41      0.7675      0.0461      0.0245       1.963      20.618      11.344                                                                          
        52.6        0.43      0.7866      0.0423      0.0231       1.856      19.492      10.414                                                                          
        55.3        0.45      0.8026      0.0385      0.0217       1.739      18.264       9.459                                                                          
        58.1        0.48      0.8149      0.0345      0.0201       1.613      16.944       8.485                                                                          
        60.9        0.50      0.8225      0.0304      0.0184       1.478      15.523       7.489                                                                          
        63.6        0.52      0.8241      0.0263      0.0166       1.333      14.005       6.476                                                                          
        66.4        0.54      0.8173      0.0221      0.0147       1.179      12.387       5.444                                                                          
        69.2        0.57      0.7985      0.0179      0.0126       1.014      10.653       4.391                                                                          
        71.9        0.59      0.7603      0.0135      0.0104       0.837       8.795       3.319                                                                          
        74.7        0.61      0.6849      0.0090      0.0081       0.647       6.793       2.224                                                                          
        77.5        0.63      0.5158      0.0045      0.0056       0.447       4.693       1.116                                                                          
        80.2        0.66     -0.0065      0.0000      0.0030       0.242       2.544      -0.007                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       7000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0919      0.0312       3.974      35.778      30.778                                                                          
         3.2        0.02      0.0652      0.0908      0.0315       4.013      36.133      30.381                                                                          
         6.5        0.05      0.1275      0.0894      0.0318       4.047      36.436      29.941                                                                          
         9.7        0.07      0.1868      0.0880      0.0320       4.075      36.691      29.460                                                                          
        12.9        0.09      0.2434      0.0864      0.0322       4.096      36.882      28.934                                                                          
        16.2        0.11      0.2972      0.0847      0.0323       4.110      37.007      28.362                                                                          
        19.4        0.14      0.3483      0.0829      0.0323       4.117      37.067      27.744                                                                          
        22.6        0.16      0.3967      0.0809      0.0323       4.115      37.051      27.076                                                                          
        25.8        0.18      0.4425      0.0787      0.0322       4.105      36.956      26.360                                                                          
        29.1        0.20      0.4856      0.0764      0.0321       4.085      36.784      25.592                                                                          
        32.3        0.23      0.5261      0.0740      0.0318       4.055      36.507      24.765                                                                          
        35.5        0.25      0.5641      0.0713      0.0315       4.010      36.104      23.874                                                                          
        38.8        0.27      0.5998      0.0684      0.0310       3.947      35.540      22.907                                                                          
        42.0        0.29      0.6333      0.0653      0.0304       3.866      34.805      21.862                                                                          
        45.2        0.32      0.6644      0.0619      0.0295       3.760      33.853      20.716                                                                          
        48.5        0.34      0.6933      0.0584      0.0286       3.641      32.779      19.535                                                                          
        51.7        0.36      0.7199      0.0547      0.0275       3.508      31.582      18.324                                                                          
        54.9        0.38      0.7444      0.0510      0.0264       3.360      30.251      17.081                                                                          
        58.1        0.41      0.7664      0.0472      0.0251       3.198      28.795      15.810                                                                          
        61.4        0.43      0.7861      0.0433      0.0237       3.021      27.198      14.509                                                                          
        64.6        0.45      0.8026      0.0394      0.0222       2.830      25.479      13.184                                                                          
        67.8        0.48      0.8156      0.0353      0.0206       2.622      23.610      11.824                                                                          
        71.1        0.50      0.8239      0.0312      0.0188       2.401      21.613      10.437                                                                          
        74.3        0.52      0.8264      0.0270      0.0170       2.163      19.477       9.024                                                                          
        77.5        0.54      0.8204      0.0227      0.0150       1.911      17.203       7.583                                                                          
        80.8        0.57      0.8026      0.0183      0.0129       1.640      14.768       6.114                                                                          
        84.0        0.59      0.7660      0.0138      0.0106       1.350      12.153       4.616                                                                          
        87.2        0.61      0.6945      0.0093      0.0082       1.041       9.370       3.108                                                                          
        90.4        0.63      0.5281      0.0047      0.0056       0.712       6.410       1.559                                                                          
        93.7        0.66     -0.0065      0.0000      0.0030       0.376       3.386      -0.010                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       8000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0947      0.0328       6.226      49.053      41.403                                                                          
         3.7        0.02      0.0640      0.0935      0.0331       6.289      49.548      40.905                                                                          
         7.4        0.05      0.1251      0.0923      0.0334       6.342      49.961      40.340                                                                          
        11.1        0.07      0.1836      0.0908      0.0336       6.384      50.293      39.712                                                                          
        14.8        0.09      0.2393      0.0893      0.0338       6.418      50.565      39.036                                                                          
        18.4        0.11      0.2925      0.0875      0.0339       6.437      50.711      38.280                                                                          
        22.1        0.14      0.3432      0.0857      0.0339       6.441      50.747      37.456                                                                          
        25.8        0.16      0.3915      0.0836      0.0338       6.431      50.667      36.563                                                                          
        29.5        0.18      0.4372      0.0814      0.0337       6.408      50.481      35.598                                                                          
        33.2        0.20      0.4805      0.0790      0.0335       6.369      50.175      34.565                                                                          
        36.9        0.23      0.5212      0.0765      0.0332       6.313      49.737      33.452                                                                          
        40.6        0.25      0.5593      0.0738      0.0328       6.240      49.156      32.253                                                                          
        44.3        0.27      0.5951      0.0708      0.0323       6.140      48.368      30.954                                                                          
        48.0        0.29      0.6287      0.0676      0.0316       6.010      47.347      29.550                                                                          
        51.6        0.32      0.6603      0.0641      0.0307       5.842      46.020      28.008                                                                          
        55.3        0.34      0.6894      0.0604      0.0297       5.653      44.537      26.414                                                                          
        59.0        0.36      0.7163      0.0567      0.0286       5.445      42.899      24.783                                                                          
        62.7        0.38      0.7411      0.0529      0.0274       5.215      41.086      23.113                                                                          
        66.4        0.41      0.7638      0.0489      0.0261       4.962      39.088      21.403                                                                          
        70.1        0.43      0.7839      0.0449      0.0246       4.685      36.910      19.652                                                                          
        73.8        0.45      0.8015      0.0408      0.0231       4.384      34.538      17.860                                                                          
        77.5        0.48      0.8154      0.0367      0.0214       4.060      31.986      16.026                                                                          
        81.2        0.50      0.8250      0.0324      0.0195       3.713      29.254      14.157                                                                          
        84.8        0.52      0.8289      0.0280      0.0176       3.344      26.346      12.252                                                                          
        88.5        0.54      0.8249      0.0236      0.0155       2.951      23.247      10.310                                                                          
        92.2        0.57      0.8092      0.0191      0.0133       2.531      19.943       8.330                                                                          
        95.9        0.59      0.7757      0.0144      0.0109       2.081      16.397       6.312                                                                          
        99.6        0.61      0.7063      0.0097      0.0084       1.602      12.624       4.261                                                                          
       103.3        0.63      0.5440      0.0049      0.0057       1.091       8.594       2.154                                                                          
       107.0        0.66     -0.0095      0.0000      0.0030       0.566       4.458      -0.019                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       9000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0978      0.0388      10.495      73.494      54.099                                                                          
         4.1        0.02      0.0561      0.0977      0.0392      10.622      74.387      54.059                                                                          
         8.3        0.05      0.1108      0.0972      0.0395      10.700      74.931      53.769                                                                          
        12.4        0.07      0.1642      0.0963      0.0397      10.743      75.232      53.312                                                                          
        16.5        0.09      0.2163      0.0952      0.0397      10.746      75.250      52.682                                                                          
        20.7        0.11      0.2672      0.0938      0.0396      10.711      75.007      51.896                                                                          
        24.8        0.14      0.3169      0.0921      0.0393      10.646      74.551      50.987                                                                          
        28.9        0.16      0.3655      0.0902      0.0390      10.545      73.847      49.932                                                                          
        33.1        0.18      0.4121      0.0879      0.0385      10.411      72.908      48.633                                                                          
        37.2        0.20      0.4566      0.0852      0.0379      10.246      71.753      47.137                                                                          
        41.4        0.23      0.4993      0.0822      0.0371      10.053      70.396      45.513                                                                          
        45.5        0.25      0.5401      0.0791      0.0363       9.834      68.868      43.784                                                                          
        49.6        0.27      0.5781      0.0758      0.0355       9.604      67.254      41.950                                                                          
        53.8        0.29      0.6134      0.0723      0.0345       9.348      65.463      39.994                                                                          
        57.9        0.32      0.6468      0.0684      0.0334       9.041      63.311      37.875                                                                          
        62.0        0.34      0.6781      0.0645      0.0322       8.708      60.978      35.696                                                                          
        66.2        0.36      0.7072      0.0605      0.0309       8.351      58.481      33.468                                                                          
        70.3        0.38      0.7335      0.0564      0.0295       7.974      55.838      31.194                                                                          
        74.4        0.41      0.7569      0.0522      0.0280       7.569      53.005      28.861                                                                          
        78.6        0.43      0.7783      0.0479      0.0264       7.132      49.947      26.493                                                                          
        82.7        0.45      0.7971      0.0435      0.0246       6.665      46.674      24.085                                                                          
        86.8        0.47      0.8126      0.0391      0.0228       6.170      43.206      21.648                                                                          
        91.0        0.50      0.8241      0.0346      0.0208       5.643      39.518      19.168                                                                          
        95.1        0.52      0.8304      0.0300      0.0188       5.078      35.563      16.626                                                                          
        99.3        0.54      0.8295      0.0253      0.0165       4.475      31.341      14.025                                                                          
       103.4        0.56      0.8150      0.0205      0.0142       3.845      26.925      11.365                                                                          
       107.5        0.59      0.7815      0.0156      0.0117       3.171      22.209       8.644                                                                          
       111.7        0.61      0.7094      0.0105      0.0090       2.444      17.118       5.823                                                                          
       115.8        0.63      0.5556      0.0054      0.0062       1.667      11.675       3.000                                                                          
       119.9        0.65     -0.0008      0.0000      0.0033       0.894       6.262      -0.002                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      10000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0976      0.0488      18.131     114.271      66.665                                                                          
         4.6        0.02      0.0445      0.0975      0.0491      18.229     114.887      66.646                                                                          
         9.1        0.04      0.0897      0.0975      0.0487      18.095     114.044      66.591                                                                          
        13.7        0.07      0.1338      0.0974      0.0490      18.190     114.642      66.558                                                                          
        18.3        0.09      0.1783      0.0973      0.0490      18.176     114.555      66.475                                                                          
        22.8        0.11      0.2227      0.0968      0.0487      18.085     113.982      66.119                                                                          
        27.4        0.13      0.2674      0.0960      0.0483      17.930     113.008      65.580                                                                          
        32.0        0.16      0.3110      0.0950      0.0479      17.791     112.127      64.876                                                                          
        36.6        0.18      0.3552      0.0936      0.0473      17.552     110.622      63.953                                                                          
        41.1        0.20      0.3991      0.0917      0.0464      17.219     108.522      62.671                                                                          
        45.7        0.22      0.4395      0.0891      0.0455      16.882     106.398      60.895                                                                          
        50.3        0.25      0.4782      0.0861      0.0444      16.496     103.965      58.849                                                                          
        54.8        0.27      0.5151      0.0829      0.0433      16.083     101.364      56.661                                                                          
        59.4        0.29      0.5484      0.0795      0.0423      15.696      98.923      54.338                                                                          
        64.0        0.31      0.5788      0.0760      0.0412      15.304      96.457      51.923                                                                          
        68.5        0.34      0.6073      0.0723      0.0400      14.869      93.715      49.405                                                                          
        73.1        0.36      0.6346      0.0683      0.0386      14.347      90.420      46.695                                                                          
        77.7        0.38      0.6600      0.0640      0.0370      13.726      86.509      43.731                                                                          
        82.2        0.40      0.6833      0.0595      0.0351      13.045      82.217      40.640                                                                          
